"","rep","method","coverage","alpha"
"669",18,"ada",0.35,0.8
"670",18,"ada",0.35,0.75
"671",18,"ada",0.3,0.7
"672",18,"ada",0.2,0.65
"673",18,"ada",0.2,0.6
"674",18,"ada",0.15,0.55
"675",18,"ada",0.2,0.5
"676",18,"ada",0.2,0.45
"677",18,"ada",0.15,0.4
"678",18,"ada",0.1,0.35
"679",18,"ada",0.1,0.3
"680",18,"ada",0.05,0.25
"681",18,"ada",0,0.2
"682",18,"ada",0,0.15
"683",18,"ada",0,0.0999999999999999
"684",18,"ada",0,0.05
"685",19,"conf",0.95,0.95
"686",19,"conf",0.9,0.9
"687",19,"conf",0.9,0.85
"688",19,"conf",0.85,0.8
"689",19,"conf",0.8,0.75
"690",19,"conf",0.75,0.7
"691",19,"conf",0.75,0.65
"692",19,"conf",0.65,0.6
"693",19,"conf",0.6,0.55
"694",19,"conf",0.6,0.5
"695",19,"conf",0.55,0.45
"696",19,"conf",0.55,0.4
"697",19,"conf",0.5,0.35
"698",19,"conf",0.45,0.3
"699",19,"conf",0.45,0.25
"700",19,"conf",0.4,0.2
"701",19,"conf",0.4,0.15
"702",19,"conf",0.3,0.0999999999999999
"703",19,"conf",0.2,0.05
"704",19,"ada",0.6,0.95
"705",19,"ada",0.5,0.9
"706",19,"ada",0.2,0.85
"707",19,"ada",0.2,0.8
"708",19,"ada",0.25,0.75
"709",19,"ada",0.3,0.7
"710",19,"ada",0.25,0.65
"711",19,"ada",0.15,0.6
"712",19,"ada",0.45,0.55
"713",19,"ada",0.25,0.5
"714",19,"ada",0.35,0.45
"715",19,"ada",0.25,0.4
"716",19,"ada",0.15,0.35
"717",19,"ada",0.15,0.3
"718",19,"ada",0.15,0.25
"719",19,"ada",0.15,0.2
"720",19,"ada",0.15,0.15
"721",19,"ada",0.1,0.0999999999999999
"722",19,"ada",0.05,0.05
"723",20,"conf",0.95,0.95
"724",20,"conf",0.85,0.9
"725",20,"conf",0.85,0.85
"726",20,"conf",0.75,0.8
"727",20,"conf",0.7,0.75
"728",20,"conf",0.65,0.7
"729",20,"conf",0.6,0.65
"730",20,"conf",0.45,0.6
"731",20,"conf",0.35,0.55
"732",20,"conf",0.3,0.5
"733",20,"conf",0.3,0.45
"734",20,"conf",0.3,0.4
"735",20,"conf",0.25,0.35
"736",20,"conf",0.25,0.3
"737",20,"conf",0.25,0.25
"738",20,"conf",0.1,0.2
"739",20,"conf",0.1,0.15
"740",20,"conf",0.1,0.0999999999999999
"741",20,"conf",0.05,0.05
"742",20,"ada",0.75,0.95
"743",20,"ada",0.75,0.9
"744",20,"ada",0.55,0.85
"745",20,"ada",0.45,0.8
"746",20,"ada",0.3,0.75
"747",20,"ada",0.25,0.7
"748",20,"ada",0.35,0.65
"749",20,"ada",0.15,0.6
"750",20,"ada",0.15,0.55
"751",20,"ada",0.1,0.5
"752",20,"ada",0.05,0.45
"753",20,"ada",0,0.4
"754",20,"ada",0.05,0.35
"755",20,"ada",0,0.3
"756",20,"ada",0,0.25
"757",20,"ada",0.05,0.2
"758",20,"ada",0.05,0.15
"759",20,"ada",0,0.0999999999999999
"760",20,"ada",0,0.05
"761",21,"conf",0.95,0.95
"762",21,"conf",0.95,0.9
"763",21,"conf",0.9,0.85
"764",21,"conf",0.9,0.8
"765",21,"conf",0.8,0.75
"766",21,"conf",0.7,0.7
"767",21,"conf",0.7,0.65
"768",21,"conf",0.65,0.6
"769",21,"conf",0.6,0.55
"770",21,"conf",0.55,0.5
"771",21,"conf",0.55,0.45
"772",21,"conf",0.5,0.4
"773",21,"conf",0.4,0.35
"774",21,"conf",0.3,0.3
"775",21,"conf",0.25,0.25
"776",21,"conf",0.2,0.2
"777",21,"conf",0.2,0.15
"778",21,"conf",0.15,0.0999999999999999
"779",21,"conf",0,0.05
"780",21,"ada",0.7,0.95
"781",21,"ada",0.6,0.9
"782",21,"ada",0.45,0.85
"783",21,"ada",0.35,0.8
"784",21,"ada",0.3,0.75
"785",21,"ada",0.2,0.7
"786",21,"ada",0.05,0.65
"787",21,"ada",0.1,0.6
"788",21,"ada",0.1,0.55
"789",21,"ada",0.1,0.5
"790",21,"ada",0.25,0.45
"791",21,"ada",0.05,0.4
"792",21,"ada",0.05,0.35
"793",21,"ada",0.05,0.3
"794",21,"ada",0.05,0.25
"795",21,"ada",0.05,0.2
"796",21,"ada",0.05,0.15
"797",21,"ada",0,0.0999999999999999
"798",21,"ada",0,0.05
"799",22,"conf",1,0.95
"800",22,"conf",0.85,0.9
"801",22,"conf",0.75,0.85
"802",22,"conf",0.7,0.8
"803",22,"conf",0.6,0.75
"804",22,"conf",0.6,0.7
"805",22,"conf",0.6,0.65
"806",22,"conf",0.55,0.6
"807",22,"conf",0.55,0.55
"808",22,"conf",0.55,0.5
"809",22,"conf",0.55,0.45
"810",22,"conf",0.55,0.4
"811",22,"conf",0.55,0.35
"812",22,"conf",0.5,0.3
"813",22,"conf",0.3,0.25
"814",22,"conf",0.3,0.2
"815",22,"conf",0.15,0.15
"816",22,"conf",0.05,0.0999999999999999
"817",22,"conf",0.05,0.05
"818",22,"ada",0.6,0.95
